ubigeo,periodo,irsip,irsip_bruto,contrib_rezago,contrib_ejecucion,contrib_canon,contrib_mineria
100905,2021-04-01,12.55,-0.07739297867978862,0,-0.08677277542372881,0.009379796743940204,0
100905,2021-05-01,13.12,-0.07333276170455169,0,-0.08270391949152543,0.009371157786973745,0
100905,2021-06-01,13.33,-0.07183275819272907,0,-0.08120021186440678,0.009367453671677708,0
100905,2021-07-01,12.13,-0.08037281633146723,0,-0.08845338983050849,0.008080573499041259,0
100905,2021-08-01,12.74,-0.07604286212239658,0,-0.08411917372881356,0.008076311606416978,0
100905,2021-09-01,13.45,-0.07093580092269568,0,-0.07739671610169492,0.006460915178999242,0
100905,2021-10-01,13.36,-0.0715940830464797,0,-0.07788618316569614,0.006292100119216435,0
100905,2021-11-01,14.63,-0.062480969709520266,0,-0.06878030704076232,0.006299337331242058,0
100905,2021-12-01,17.83,-0.03967260046590401,0,-0.045971413446267866,0.006298812980363854,0
100905,2022-01-01,23.39,4.630293080876532e-5,0,-0,4.630293080876532e-5,0
100905,2022-02-01,15.88,-0.05360277799301534,0,-0.05366278454208577,6.000654907042608e-5,0
100905,2022-03-01,18.43,-0.035376820952043225,0,-0.035451032292218104,7.421134017487754e-5,0
100905,2022-04-01,18.16,-0.037298535093944034,0,-0.03739597670725252,9.744161330848504e-5,0
100905,2022-05-01,19.49,-0.027819176453318512,0,-0.027936474325039703,1.1729787172119085e-4,0
100905,2022-06-01,20.63,-0.01966334304017804,0,-0.01980307040762308,1.3972736744503883e-4,0
100905,2022-07-01,20.91,-0.017648644821965376,0,-0.017858125992588673,2.0948117062329657e-4,0
100905,2022-08-01,21.67,-0.012231098819129682,0,-0.012465325569084173,2.3422674995449226e-4,0
100905,2022-09-01,21.66,-0.012288144151199921,0,-0.012553732133403918,2.6558798220399616e-4,0
100905,2022-10-01,22.35,-0.007414167376405948,0,-0.008575436739015353,0.0011612693626094049,0
100905,2022-11-01,22.42,-0.006905837705347402,0,-0.008044997353096876,0.0011391596477494743,0
100905,2022-12-01,22.5,-0.006295431138136465,0,-0.007426151402858656,0.001130720264722191,0
100905,2023-01-01,23.84,0.003254559954208943,0,-0,0.003254559954208943,0
100905,2023-02-01,5.27,-0.12938320818131763,0,-0.13262804232804234,0.003244834146724708,0
100905,2023-03-01,7.32,-0.1147255904852963,0,-0.11796031746031747,0.00323472697502117,0
100905,2023-04-01,10.94,-0.08889932197650521,0,-0.0948984126984127,0.005999090721907484,0
100905,2023-05-01,12.63,-0.07677142269157325,0,-0.0827931216931217,0.006021699001548445,0
100905,2023-06-01,11.71,-0.08338377295483014,0,-0.08950846560846562,0.006124692653635474,0
100905,2023-07-01,11.74,-0.08313605174746111,0,-0.09136402116402116,0.008227969416560045,0
100905,2023-08-01,12.4,-0.0784256258742948,0,-0.08668095238095239,0.008255326506657583,0
100905,2023-09-01,9.66,-0.0980108264329358,0,-0.10629682539682539,0.008285998963889598,0
100905,2023-10-01,10.42,-0.0925938630728204,0,-0.10214391534391536,0.00955005227109495,0
100905,2023-11-01,9.95,-0.09590785046818417,0,-0.1055015873015873,0.00959373683340313,0
100905,2023-12-01,13.24,-0.07245580424820484,0,-0.08208624338624339,0.009630439138038543,0
100905,2024-01-01,1.63,-0.1553398214391587,0,-0.16576296296296297,0.010423141523804278,0
100905,2024-02-01,2.38,-0.1500058782351054,0,-0.16046137566137567,0.010455497426270288,0
